asset_id,name,category,subcategory,district_usage,source_type,source,creator,license,license_url,source_url,source_revision,download_date,archive_sha256,original_format,processed_format,game_path,triangle_count,lod_count,material_count,max_texture_resolution,collision_type,android_test_status,integration_status,notes
bh_villa_wall_solid_01,Wall Solid,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_wall_solid_01.glb,300-1600,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_wall_window_01,Wall Window,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_wall_window_01.glb,300-1600,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_wall_door_01,Wall Door,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_wall_door_01.glb,300-1600,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_corner_01,Corner,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_corner_01.glb,100-1200,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_balcony_01,Balcony,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_balcony_01.glb,100-1200,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_roof_edge_01,Roof Edge,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_roof_edge_01.glb,100-1200,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_parapet_01,Parapet,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_parapet_01.glb,100-1200,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_gate_pedestrian_01,Gate Pedestrian,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_gate_pedestrian_01.glb,300-1600,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_gate_vehicle_01,Gate Vehicle,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_gate_vehicle_01.glb,300-1600,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_boundary_wall_01,Boundary Wall,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_boundary_wall_01.glb,300-1600,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_column_01,Column,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_column_01.glb,100-1200,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_canopy_01,Canopy,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_canopy_01.glb,100-1200,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_villa_stair_01,Stair,architecture,villas,isa_town|riffa|saar|budaiya,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/villas/bh_villa_stair_01.glb,100-1200,3,1-2,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
