priority,asset_id,asset_name,category,required_output,generation_method,dependencies,assigned_status,review_status,android_status,blocker
Critical,bh_villa_wall_solid_01,Wall Solid,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_wall_window_01,Wall Window,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_wall_door_01,Wall Door,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_corner_01,Corner,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_balcony_01,Balcony,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_roof_edge_01,Roof Edge,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_parapet_01,Parapet,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_gate_pedestrian_01,Gate Pedestrian,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_gate_vehicle_01,Gate Vehicle,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_boundary_wall_01,Boundary Wall,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_column_01,Column,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_canopy_01,Canopy,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_stair_01,Stair,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_garage_opening_01,Garage Opening,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_ac_unit_01,Ac Unit,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_water_tank_01,Water Tank,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_satellite_dish_01,Satellite Dish,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_villa_driveway_01,Driveway,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_party_wall_01,Party Wall,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_timber_door_01,Timber Door,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_projecting_window_01,Projecting Window,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_alley_arch_01,Alley Arch,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_parapet_01,Parapet,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_courtyard_hint_01,Courtyard Hint,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_shop_bay_01,Shop Bay,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_shade_canopy_01,Shade Canopy,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_roof_tank_01,Roof Tank,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_ac_screen_01,Ac Screen,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_vent_panel_01,Vent Panel,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_traditional_lamp_01,Traditional Lamp,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_bench_01,Bench,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_traditional_utility_cable_01,Utility Cable,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_gold_01,Shop Gold,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_spice_01,Shop Spice,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_tailor_01,Shop Tailor,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_perfume_01,Shop Perfume,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_electronics_01,Shop Electronics,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_fabric_01,Shop Fabric,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_toy_01,Shop Toy,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
Critical,bh_souq_shop_grocery_01,Shop Grocery,architecture,GLB LOD0/LOD1/collision/materials,blender_or_external_3d,approved specification|material library,specified,technical_spec_complete,not_run,Blender/Godot runtime unavailable in current environment
